place,title,time,pay,date
경기 성남시,투썸플레이스 서현중앙점 평일 미들 스탭  모집,12:00~16:00,"시급 9,860",7분전
경기 성남시,투썸플레이스 서현중앙점 평일 미들 스탭  모집,12:00~16:00,"시급 9,860",11분전
부산 사하구,투썸플레이스 장림점에서 스탭을 모집합니다.,18:00~22:00,"시급 9,860",12분전
서울 서초구,투썸 서초센트럴아이파크점/주말 오픈 근무,09:00~16:00,"시급 11,900",12분전
부산 사하구,투썸플레이스 장림점에서 스탭을 모집합니다.,18:00~22:00,"시급 9,860",13분전
서울 마포구,투썸플레이스 마포망원점 주말미들+마감스텝,14:00~23:00,"시급 12,000",14분전
경기 오산시,"투썸플레이스 오산시청점 평일저녁(수,목,금)오후 아르바이트 1명 모집합니다",12:30~17:30,"시급 9,860",27분전
경기 오산시,"투썸플레이스 오산시청점 평일저녁(수,목,금)오후 아르바이트 1명 모집합니다",12:30~17:30,"시급 9,860",32분전
경기 성남시,투썸판교테크노밸리점 평일  오픈타임 아르바이트 모집,07:00~14:00,"시급 11,832",32분전
부산 부산진,투썸 플레이스 서면중앙점에서 주말 야간 아르바이트를 구합니다.,23:00~05:00,"시급 9,860",32분전
부산 부산진,투썸 플레이스 서면중앙점에서 주말 야간 아르바이트를 구합니다.,23:00~05:00,"시급 9,860",36분전
서울 동대문,투썸플레이스 답십리점 마감직원 모집합니다!,14:00~23:00,"월급 2,100,000",37분전
경기 파주시,투썸플레이스 파주운정점에서 함께할 매니저(직원)을 모집합니다.,08:00~16:00,"월급 2,300,000",37분전
서울 동대문,투썸플레이스 답십리점 마감직원 모집합니다!,14:00~23:00,"월급 2,100,000",40분전
경기 광주시,[직영] 투썸 광주쌍령DT점 주말 오픈 스탭 모집,07:00~14:30,"시급 10,000",42분전
경기 광주시,[직영] 투썸 광주쌍령DT점 주말 오픈 스탭 모집,07:00~14:30,"시급 10,000",42분전
